"Paiva","Tehtava","Ihminen h min","Ihminen h max","Codex h min","Codex h max","Tyyppi","Todiste","Huomio"
"2026-02-09-2026-02-23","Prototyypin alku ja ensimmainen toimiva kokonaisuus","4","8","10","20","arvio","8 commitia","Ei kellotettua dataa"
"2026-04-26-2026-04-30","Paikalliset linkit, uutiset, muutosloki ja ensimmainen yllapitomalli","12","22","35","70","arvio","26 commitia","Sisaltaa paljon sisaltotyon automatisointia"
"2026-05-04-2026-05-31","Toukokuun laaja kehitysjakso","45","80","110","230","arvio","85 commitia","Sisaltaa Firebase-, tietoturva-, saavutettavuus- ja linkkityota"
"2026-06-01-2026-06-12","Kesakuun testauskorjaukset ja linkkien turvallisuustyo","14","29","42","98","arvio","22 commitia","Sisaltaa myos pitkia linkkiajoja, dokumentointia, visuaalisia tarkistuksia ja paikallisuusmallin kokeiluja"
"2026-06-12","Akaan Toijalan Nayttamon lisays teatterilistalle","0.25","0.25","0.5","0.5","arvio","constants.tsx, vite build","Linkki varmistettu HTTP 200 -vastauksella; taysi linkkiajo aikakatkaistiin"
"2026-06-12","Visuaalinen muutos ja saavutettavuustarkistus","0.75","1.25","2","4","arvio","commitit 291a0d2 ja c42e6e9, vite build, kontrastilaskenta","Sisaltaa Clauden visuaalisen muutoksen commitoinnin, tekstikontrastien parannukset ja build-varmistuksen"
"2026-06-12","Lahellasi-osion alueelliset linkit alakategorioiksi","0.5","1","1.5","3","arvio","App.tsx, components/RegionalServicesPanel.tsx, localServices.ts, Playwright-pistokokeet","Ensin kokeiltiin kaikkia alueellisia linkkeja suorina, sitten isot kaupungit tiivistettiin alakategorioihin"
"2026-06-14","Alueellisten linkkien ja julkisen liikenteen viimeistely","0.5","1","1","2","arvio","App.tsx, components/RegionalServicesPanel.tsx, localServices.ts, docs/julkinen-liikenne-puuttuvat-kunnat.md, vite build","Lahellasi-osio viimeisteltiin alakategorioiksi, HSL-linkitys selkeytettiin ja Matkahuolto lisattiin fallbackiksi kunnille joilta oma julkinen liikenne puuttui"
"2026-06-14","Kunnan vaihtamisen parannus desktopissa","0.25","0.5","0.75","1.5","arvio","components/RegionalServicesPanel.tsx, changelogData.ts, vite build, Playwright-pistokokeet","Kuntakentasta tehtiin helpommin korvattava, tyhjennettava ja sijaintiin palautettava desktopissa"
"2026-06-14","Huijausvaroitusikkunan viimeistely","0.25","0.5","0.75","1.5","arvio","components/ScamAlertsBanner.tsx, i18n.tsx, changelogData.ts, vite build, Playwright-pistokokeet","Modaalia suurennettiin, Lue lisaa -linkki pidetaan aina nakyvissa ja Escape/fokuskaytto varmistettiin"
"2026-06-14","Linkki-ilmoitusten spammisuojan aloitus","0.25","0.5","0.75","1.5","arvio","components/LinkReportModal.tsx, linkVisibility.ts, firestore.rules, i18n.tsx, vite build","Linkki-ilmoituksiin lisattiin https-validointi, URL-normalisointi ja hiljainen honeypot-kentta"
"2026-06-12","Huijausvaroituksen modaalin parannus","0.25","0.5","0.75","1.5","arvio","components/ScamAlertsBanner.tsx, i18n.tsx, vite build","Modaali suurennettiin, tekstikokoja kasvatettiin ja Lue lisaa -linkki lisattiin aina"
"2026-06-12","Muutoslokin ja tyolokin paivitys","0.25","0.25","0.5","0.5","arvio","changelogData.ts, docs/tyotuntiseuranta.md, docs/tyotuntiseuranta.csv","Paivitettiin uusimpien kokeilujen ja korjausten tilanne muutoslokiin ja tuntiseurantaan"
